"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,1,0,0,1,0,2,1,0,1,0,2
function@MAIN_parseCommandLine,0,0,0,0,0,1,0,0,0,0,0.499999
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_finalize,0,0,0,0,0,0,0,0,0,0,0
function@LBM_allocateGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_freeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid,0,0,0,0,0,2,0,0,0,0,63.75
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,4,1,0,5,0,6,2111.5,1023.88,2143.38,0,34880.4
function@LBM_initializeSpecialCellsForLDC,3,3,0,4,2,20,405,1137.62,436.875,42.5,66853.5
function@LBM_initializeSpecialCellsForChannel,2,1,0,3,0,10,63.75,1023.88,95.625,0,70345.8
function@LBM_performStreamCollideBGK,23,16,0,24,0,18,213.125,134,381,0,309.75
function@LBM_performStreamCollideTRT,39,60,0,75,0,14,603.125,920.5,1174.62,0,270.25
function@LBM_handleInOutFlow,14,18,0,28,0,8,446.25,573.75,892.5,0,255
function@LBM_showGridStatistics,30,8,0,30,2,7,309.125,127.5,620,16.9375,207.562
function@LBM_storeVelocityField,5,1,0,6,0,5,34880,1024,3168,0,33857
function@LBM_compareVelocityField,25,2,0,27,0,5,657473,33792,658529,0,33857
