@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 892.5
~&SPILL_STATS,4, 0, 0, 2, 2, 1, 31.5, 0, 15.75, 2, 31.875
~&SPILL_STATS,9, 20, 0, 12, 3, 6, 4.25, 6.9375, 6.5, 1.625, 1.5
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,158, 24, 0, 50, 26, 4, 51.671, 10.1433, 19.2883, 15.2622, 2.74919
~&SPILL_STATS,36, 10, 0, 13, 6, 3, 9.28432, 2.67647, 7.47059, 6, 2.37255
~&SPILL_STATS,31, 1, 0, 2, 18, 4, 135.922, 31.1953, 2.29688, 80, 48.7422
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.85938
~&SPILL_STATS,4, 1, 0, 1, 0, 1, 26.25, 1, 1, 0, 12.5
~&SPILL_STATS,15, 2, 0, 3, 2, 1, 256.941, 32.7412, 63.8588, 1.62353, 31.1176
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,378, 119, 0, 82, 63, 40, 634.914, 309.026, 219.317, 107.433, 48.4551
~&SPILL_STATS,74, 40, 0, 54, 32, 20, 13.3316, 24.553, 4.47393, 4.83814, 10.2784
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,17, 0, 0, 8, 8, 6, 59.3235, 0, 15.3824, 31.6765, 55.1765
~&SPILL_STATS,12, 11, 0, 8, 5, 2, 6.70588, 28.5529, 17.7765, 6.36471, 3
~&SPILL_STATS,146, 177, 0, 109, 93, 56, 1.08768, 0.720516, 2.63872, 0.635165, 0.650432
~&SPILL_STATS,49, 8, 0, 19, 7, 7, 107.479, 25.4375, 30.0417, 38.1042, 60.125
~&SPILL_STATS,11, 3, 0, 3, 1, 25, 4.9375, 0.875, 1.625, 0.5, 192.812
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,31, 52, 0, 28, 28, 10, 74.4913, 113.158, 69.809, 54.9442, 45.1419
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,11, 16, 0, 21, 5, 10, 11.1028, 27.4061, 14.1634, 1.35044, 47.1119
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,169, 127, 0, 101, 123, 45, 673.911, 702.625, 610.799, 358.188, 455.539
~&SPILL_STATS,12, 5, 0, 4, 3, 13, 9.21335, 4.22815, 3.78027, 2.67041, 9.34222
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 2, 0, 0, 6, 3, 0, 1.49365, 0, 5.33333, 6.66667
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 26.25
~&SPILL_STATS,20, 20, 0, 12, 0, 49, 1.32913, 19.3638, 9.68819, 0, 45.3276
~&SPILL_STATS,23, 25, 0, 20, 13, 24, 76.3707, 193.204, 63.3305, 89.4413, 105.639
~&SPILL_STATS,7, 11, 0, 6, 6, 17, 6, 123, 5, 4, 1311.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,18, 22, 0, 17, 15, 22, 24.75, 172.25, 43.75, 9.625, 1357.28
~&SPILL_STATS,11, 29, 0, 23, 13, 17, 96.375, 1343.75, 101.25, 55.25, 1309.3
~&SPILL_STATS,4, 20, 0, 17, 7, 6, 42, 2304, 52.875, 29.375, 1241
~&SPILL_STATS,9, 15, 0, 11, 7, 11, 5.375, 67, 7.75, 4.5, 83.625
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1023.88, 0, 31.875, 0, 1055.75
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1657.5
~&SPILL_STATS,333, 281, 0, 177, 61, 244, 3775.42, 10298, 2325.54, 935.708, 9965.33
