Comando: /home/mpvreal/Code/Faculdade/tcc/llvm/build/bin/llc -march=x86 --regalloc=greedy -o -
Heurística: div(cost,pow(degree,2))
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.32911
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.33569
~&SPILL_STATS,1, 0, 0, 1, 0, 17, 0.0696942, 0, 0.0696942, 0, 14.6769
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.32353
~&SPILL_STATS,0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7.97949
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 12.6585
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 13.6585
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.625
~&SPILL_STATS,1, 0, 0, 1, 0, 16, 0.0696942, 0, 0.0696942, 0, 14.6769
