"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@ClearMagickWand,0,0,0,0,0,0,0,0,0,0,0
function@CloneMagickWand,0,0,0,0,0,3,0,0,0,0,3
function@MagickWandTerminus,0,0,0,0,0,0,0,0,0,0,0
function@DestroyMagickWand,0,0,0,0,0,0,0,0,0,0,0
function@IsMagickWand,0,0,0,0,0,1,0,0,0,0,1
function@MagickClearException,0,0,0,0,0,0,0,0,0,0,0
function@MagickGetException,0,0,0,0,0,2,0,0,0,0,2
function@MagickGetExceptionType,0,0,0,0,0,0,0,0,0,0,0
function@MagickGetIteratorIndex,0,0,0,0,0,0,0,0,0,0,0
function@MagickQueryConfigureOption,0,0,0,0,0,4,0,0,0,0,3.625
function@MagickQueryConfigureOptions,0,0,0,0,0,3,0,0,0,0,3
function@MagickQueryFontMetrics,1,0,0,1,2,4,0.999999,0,0.152588,1,1.50391
function@MagickQueryMultilineFontMetrics,1,0,0,1,2,4,0.999999,0,0.152588,1,1.50391
function@MagickQueryFonts,0,0,0,0,0,3,0,0,0,0,3
function@MagickQueryFormats,0,0,0,0,0,3,0,0,0,0,3
function@MagickRelinquishMemory,0,0,0,0,0,0,0,0,0,0,0
function@MagickResetIterator,0,0,0,0,0,0,0,0,0,0,0
function@MagickSetFirstIterator,0,0,0,0,0,0,0,0,0,0,0
function@MagickSetIteratorIndex,0,0,0,0,0,1,0,0,0,0,1
function@MagickSetLastIterator,0,0,0,0,0,0,0,0,0,0,0
function@MagickWandGenesis,0,0,0,0,0,0,0,0,0,0,0
function@NewMagickWand,0,0,0,0,0,4,0,0,0,0,3.99999
function@NewMagickWandFromImage,0,0,0,0,0,2,0,0,0,0,2
function@IsMagickWandInstantiated,0,0,0,0,0,0,0,0,0,0,0
function@ConvertImageCommand,2555,1190,0,608,272,2630,3.942,3.10978,2.05503,1.71517,18.5121
function@ConvertUsage,0,0,0,0,0,0,0,0,0,0,0
function@MagickCommandGenesis,31,24,0,23,10,9,99.6371,54.937,63.239,11.1562,82.0451
function@StringToInteger,0,0,0,0,0,0,0,0,0,0,0
function@MagickCommandGenesis.omp_outlined,4,0,0,1,0,7,6.875,0,0.625,0,42.7236
function@MogrifyImage,184,265,0,56,26,149,16.4346,26.2369,16.5703,13.105,35.9972
