"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@newmolecule,0,0,0,0,0,2,0,0,0,0,2
function@freeresidue,0,0,0,0,0,4,0,0,0,0,14.5294
function@freemolecule,0,0,0,0,0,3,0,0,0,0,14.4062
function@addstrand,0,0,0,0,0,13,0,0,0,0,32.9194
function@addresidue,1,0,0,1,0,13,0.0968992,0,0.155039,0,25.6512
function@connectres,17,4,0,7,0,15,0.385528,0.0282701,0.610664,0,18.3734
function@mergestr,19,5,0,9,0,36,1.00659,0.0500314,0.834222,0,17.7571
function@upd_molnumbers,2,0,0,2,0,1,21.2857,0,21.2857,0,126.952
function@countmolstrands,0,0,0,0,0,2,0,0,0,0,2
function@countstrandresidues,0,0,0,0,0,1,0,0,0,0,15.75
function@countmolres,0,0,0,0,0,3,0,0,0,0,8.33333
function@countmolatoms,0,0,0,0,0,4,0,0,0,0,255.905
function@dist,0,0,0,0,0,5,0,0,0,0,5
function@distp,0,0,0,0,0,0,0,0,0,0,0
function@angle,0,0,0,0,0,8,0,0,0,0,8
function@anglep,0,0,0,0,0,0,0,0,0,0,0
function@torsion,0,0,0,0,0,17,0,0,0,0,17
function@torsionp,7,3,0,10,0,1,6.5,3,9.5,0,0.5
function@getresname,0,0,0,0,0,4,0,0,0,0,3.66667
function@cap,24,2,0,12,0,35,52.5089,12.5,33.1828,0,27.5434
function@delete_atom,5,1,0,5,0,6,52.8824,0.980392,50.9608,0,28.9216
function@copyextbonds,0,0,0,0,0,2,0,0,0,0,10.92
function@setreskind,2,0,0,2,0,4,2,0,2,0,8.27298
function@setxyz_from_mol,0,0,0,0,0,3,0,0,0,0,3
function@setxyzw_from_mol,0,0,0,0,0,3,0,0,0,0,3
function@setmol_from_xyz,0,0,0,0,0,3,0,0,0,0,3
function@setmol_from_xyzw,0,0,0,0,0,3,0,0,0,0,3
function@NAB_ainit,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initres,0,0,0,0,0,0,0,0,0,0,0
function@NAB_initatom,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mnext,0,0,0,0,0,1,0,0,0,0,0.192547
function@NAB_rnext,0,0,0,0,0,0,0,0,0,0,0
function@NAB_anext,0,0,0,0,0,0,0,0,0,0,0
function@NAB_mri,6,0,0,6,0,10,7.69253,0,7.69253,0,50.8563
function@NAB_rri,9,0,0,9,0,10,8.0546,0,8.0546,0,50.8563
function@NAB_rrc,0,0,0,0,0,7,0,0,0,0,5.03736
function@NAB_ari,15,0,0,15,0,15,7.45792,0,7.45792,0,47.9186
function@NAB_arf,0,0,0,0,0,11,0,0,0,0,5.5708
function@NAB_arc,7,0,0,6,0,15,3.62621,0,3.59031,0,25.3068
function@NAB_arp,0,0,0,0,0,0,0,0,0,0,0
function@newtransform,11,0,0,5,0,0,7.25,0,3.5,0,0
function@concat_mat,0,0,0,0,0,0,0,0,0,0,0
function@transformres,0,0,0,0,0,2,0,0,0,0,2
function@transformmol,0,0,0,0,0,4,0,0,0,0,4
function@transformpts,0,0,0,0,0,2,0,0,0,0,0.313726
function@updtransform,0,0,0,0,0,0,0,0,0,0,0
function@trans4p,0,0,0,0,0,0,0,0,0,0,0
function@NAB_matcpy,0,0,0,0,0,1,0,0,0,0,1
function@trans4,1,0,0,1,0,9,1,0,1,0,9
function@rot4p,10,3,0,12,0,8,10,3,12,0,7.25
function@rot4,1,0,0,1,0,9,1,0,1,0,9
function@set_belly_mask,24,1,0,7,0,34,142.039,6.25,2.8125,0,253.889
function@set_cons_mask,0,0,0,0,0,3,0,0,0,0,3
function@circle,0,1,0,1,0,0,0,1,1,0,0
function@rt_errormsg,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_2s,0,0,0,0,0,1,0,0,0,0,1
function@rt_errormsg_d,0,0,0,0,0,1,0,0,0,0,1
function@regcomp,1,0,0,1,0,35,0.00153494,0,0.00245595,0,9.90729
function@p_ere,12,5,0,12,2,42,27.5667,72.5385,78.3046,1,110.527
function@p_bre,13,2,0,6,0,35,2.8125,9.66038,4.69532,0,46.2351
function@doinsert,0,0,0,0,0,5,0,0,0,0,4.37459
function@p_bracket,63,1,0,7,1,97,10.5986,0.00897282,3.00613,0.173819,42.6591
function@ordinary,1,0,0,1,0,6,0.125,0,0.125,0,2.46875
function@repeat,19,0,0,3,1,63,2.21919,0,1.82789,0.0939679,14.1499
function@p_b_symbol,3,0,0,2,0,6,0.202963,0,0.29522,0,2.16271
function@bothcases,1,0,0,1,0,2,1,0,1,0,2
function@regexec,81,20,0,34,2,159,26.3343,12.2439,11.8692,0.465807,447.193
function@sslow,27,5,0,11,1,43,245.095,129.905,136.524,0.380952,5023.33
function@sdissect,30,0,0,10,0,88,415.625,0,13.75,0,2242.31
function@sbackref,20,4,0,7,0,42,2.03121,2.60142,2.02728,0,31.2829
function@sstep,0,0,0,0,0,32,0,0,0,0,45.2264
function@lslow,24,3,0,9,0,38,379.952,64.9524,165.381,0,3755.76
function@ldissect,26,1,0,7,0,90,373.75,15.9375,9,0,2279.56
function@lbackref,20,4,0,7,0,42,2.03121,2.60142,2.02728,0,31.2829
function@lstep,1,0,0,1,0,10,0.396226,0,0.490566,0,29.4906
function@regfree,0,0,0,0,0,1,0,0,0,0,0.148148
function@regerror,0,0,0,0,0,30,0,0,0,0,8.83271
function@spec_srand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_init_genrand,0,0,0,0,0,1,0,0,0,0,31.875
function@spec_rand,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_int32,0,0,0,0,0,11,0,0,0,0,79.129
function@spec_lrand48,0,0,0,0,0,0,0,0,0,0,0
function@spec_init_by_array,0,0,0,0,0,3,0,0,0,0,95.625
function@spec_genrand_int31,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real1,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real2,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_real3,0,0,0,0,0,0,0,0,0,0,0
function@spec_genrand_res53,0,0,0,0,0,1,0,0,0,0,1
function@getpdb,20,2,0,16,6,42,111.199,17.3432,80.6694,6.1916,599.433
function@initres,0,0,0,0,0,0,0,0,0,0,0
function@makebonds,0,0,0,0,0,5,0,0,0,0,21.32
function@getmatrix,0,0,0,0,0,18,0,0,0,0,178.697
function@putpdb,21,13,0,17,1,65,5061.76,5219.62,223.827,0.108921,10718.5
function@putcif,9,0,0,7,0,18,23098.4,0,738.412,0,7543.88
function@putbnd,4,0,0,4,0,18,278.608,0,8.76034,0,2863.41
function@putdist,11,2,0,7,0,20,220225,5371.05,521.046,0,113524
function@putmatrix,0,0,0,0,0,28,0,0,0,0,22.5143
function@chirvol,0,0,0,0,0,0,0,0,0,0,0
function@nrerror,0,0,0,0,0,1,0,0,0,0,1
function@vector,0,0,0,0,0,4,0,0,0,0,3
function@ivector,0,0,0,0,0,1,0,0,0,0,1
function@ipvector,0,0,0,0,0,1,0,0,0,0,1
function@matrix,0,0,0,0,0,10,0,0,0,0,9.49999
function@imatrix,0,0,0,0,0,10,0,0,0,0,9.49999
function@free_vector,0,0,0,0,0,0,0,0,0,0,0
function@free_ivector,0,0,0,0,0,0,0,0,0,0,0
function@free_matrix,0,0,0,0,0,1,0,0,0,0,1
function@free_imatrix,0,0,0,0,0,1,0,0,0,0,1
function@errormsg,0,0,0,0,0,2,0,0,0,0,2
function@errormsg_s,0,0,0,0,0,3,0,0,0,0,3
function@errormsg_2s,0,0,0,0,0,3,0,0,0,0,3
function@errormsg_d,0,0,0,0,0,3,0,0,0,0,3
function@errors,0,0,0,0,0,0,0,0,0,0,0
function@seconds,0,0,0,0,0,0,0,0,0,0,0
function@myroc,0,0,0,0,0,2,0,0,0,0,1.61905
function@get_blocksize,0,0,0,0,0,0,0,0,0,0,0
function@mpierror,0,0,0,0,0,0,0,0,0,0,0
function@reducerror,0,0,0,0,0,0,0,0,0,0,0
function@mpiinit,0,0,0,0,0,0,0,0,0,0,0
